text,label
सपना तो कोई भी देख सकता है चाहे कोई भी जाति या समुदाय हो देश के भविष्य के साथ अन्याय क्यों शिक्षा में आरक्षण क्यों,1
Anushka Sharma is one of the best. She is the Queen of Bollywood. Fashion = Anushka Sharma Queen = Anushka Sharma URL,0
भारतीय शास्त्रीय संगीत के विश्वविख्यात नाम पंडित जसराज जी के निधन की दुखद ख़बर मिली। शास्त्रीय संगीत कला को पंडित जसराज जी एक नए आयाम पर लेकर गए। ऐसी महान दिवंगत आत्मा को प्रभु अपने श्री चरणों में स्थान दें और उनके अनगिनत चाहने वालों को इस दुख को सहने का साहस दें।,0
Bet he biggest pussy ever wit no gun in hand.,1
बच्चे पैदा करते हैं कहते हैं अल्लाह की देन है और जब भूखे मरते हैं तो कहते हैं मोदी की देन है है ना अजब तमाशा और पशुओं सा जीवन अपने ही घर को आग मे झोकते हे संख्या बल की ताक़त से समाज और सरकार को आंख दिखाते हैं,1
ऊसके मुंह में कटा हुआ जो ठुसा है।कैसे बोलेगा हरामी।,1
She's a piece of shit I hope she catches an STD.,1
Bitches have 20 abortions and want they pussy ateBitch who finna eat a cemetery URL,1
"बेहद भयावह स्थिति है! यह वायरल वीडियो पटना एम्स ओपीडी का बताया जा रहा है। 15 वर्षों से CM जी बिहारवासियों की जान से खेल रहे हैं, जमींदोज स्वास्थ्य सेवाओं के कारण ही आज लोगों की जान खतरे में है। कोरोना संकट में भी लापरवाह, पर रैली रोज़...! बदलिए सरकार बदलेगा बिहार",0
California would be a better place without all the dirty mexicans,1
However then we're no better than these dirty animal migrants.,1
"धांसू फीचर वाला वेस्पा का नया स्कूटर, 1 हजार रुपये में कर सकते हैं बुक",0
"Equality, freedom, and human rights.It is such a beautiful things.",0
जैसे न्यूज़ चैनल दिन रात हिन्दू मुस्लिम करते है उसी तरीके से आप फिल्म क्रिटिक्स के हर लेख में हिन्दू मुसलमान एंगेल ढूंढ़ लाते है फिल्म क्रिटिक का चोला छोड़ कर राजनितिक विश्लेषक(बीजेपी प्रवक्ता) कब बन गए पता ही नहीं चला।,1
"जब भी कानों में आवाज आने लगे ""संविधान और लोकतंत्र खतरे में है""... समझ लेना चौकीदार ने एक नया चोर पकड़ लिया, जिस कारण कुत्ते भौंक रहे हैं..!!!☹️",1
BJP के नेता और PM सिर्फ़ अच्छे से बोलते है जहां चुनाव हो या जहां BJP सरकार न हो? कैलाश विजयवर्गीय को मीडिया बहुत ही सभ्य बता रही थी बंगाल में शांति लाने वाले नेता बताये जा रहे थे। लेक़िन कल कैसे के पुत्र ने कर्मचारी को पेला और बाप ने कैसे मीडिया को उसकी औकात दिखा दी।,1
दिल्ली में टैंकर माफिया का बोलबाल हो गया है और दिल्ली सरकार से उनकी मिलीभगत साफ तौर पर नजर आती है क्योंकि केजरीवाल उनके खिलाफ कोई कार्यवाही नहीं कर रहे हैं- श्री,0
SushantSinghRajput की कॉल रिकॉर्ड से पता चला है कि वे अपने पिता के सम्पर्क में थे।,0
"कोरोनिल पर पतंजलि को सुप्रीम कोर्ट से राहत, चेन्नई की कंपनी की अर्जी खारिज via",0
"Tell em shoot her in the face, bitch, I hate thots URL",1
"21 सितम्बर, 2020 से स्कूलों में टीचिंग तथा नाॅन टीचिंग स्टॉफ को ऑनलाइन शिक्षा/परामर्श सम्बन्धी कार्यों के लिए बुलाया जा सकता है: ACS, गृह व सूचना, श्री जी",0
WHO ने चेतावनी दी है कि कोरोना वायरस के चलते दुनिया भर के ज्यादातर देशों का हेल्थ सिस्टम अब चरमराने के करीब है HindiNews,0
"अखबार के मुताबिक, AnkhiDas ने के कर्मचारियों के लिए बने ग्रुप पर अपनी पोस्ट में लिखा था- हमने उनके सोशल मीडिया कैंपेन के लिए अलख जगाई और बाकी अब सब इतिहास के पन्नों में दर्ज है. 30 साल की जमीनी मेहनत से भारत से सरकार पोषित समाजवाद खत्म.",0
Keep killing each other you warmongering nation.,1
"The more the fruits of knowledge become accessible to men, the more widespread is the decline of religious belief.â€“ ",0
I'm sure even most liberal feminists despise this,0
RT साहेब ने देश के लिए चाय का खोखा छोड़ दिया था... तुम लोग नौकरी नहीं छोड़ सकते!,1
This will simply gassing the Jews,0
रेलवे ने अगस्‍त महीने में 9 करोड़ 40 लाख टन माल ढुलाई की,0
exactly me too see when you're women of color  URL,0
Im Bi ive dated both over the years but this relationship is different we dont argue or fight its really nice.,0
मध्य प्रदेश के सिहोर जिले के गांव ग्राम गुड़भेला से किसान बाबूलाल वर्मा फसल खराब होने से परेशान होकर दर्दनाक मौत किसान आत्महत्या कर रहे हैं बेरोजगार युवा आत्महत्या कर रहे हैं न्यूज़ चैनल पर छिनरा छिनरी की कहानी चल रही है शर्म करो,1
Mfs still gone fuck a bitch knowing she got a STD?,1
"देखें, के खिलाफ DRS मांग शर्मिंदा हुए इंग्लिश खिलाड़ी josbuttler ENGvsAUS AusvsEng DRS Aaronfinch josbuttler",0
She is refugee too from Kosovo,0
Wish I could fit my cock in your tight ass!,1
"Fuck the NBA, NFL and MLB.",1
I feel well represented as an African... love from Zim,0
"A Pakistani gift to the people of Afghanistan and also to the Afghans that support Pakistan position on Kashmir, URL",0
A B im black but molly is a stupid annoying feminazi who has no business on the show.,1
"Kushinagar पुलिस लॉकअप से 2 चोर हुए फरार, दोनों चोर हथकड़ी लेकर भागे, घटना के बाद पुलिस हाथ पांव फूले, दोनों को पकड़ने में पुलिस के छूटे पसीने, रात भर छापेमारी, सुबह पकड़े गए चोर, बरवापट्टी थाने का मामला। FridaysWithArmaan संजय राऊत policemedianews",0
Incorrect. Jesus is god so it was the same entity.,0
हमारा भी कुछ शरारत करने का मन कर रहा है बोलो तो आयें शरारत करने मैडम ऐसी बेकार की बातें करोगी तो तुम्हें कोई इंसान नहीं पता नहीं क्या क्या बोलेंगे लोग सच बोलने से डरती हो तो जाओ डूब मरो शरारती तत्व बोल रही हो इन सूअरों को अरे इंसान नहीं जल्लाद हैँ सूअर के बच्चे हैँ साले मुल्ले,1
चीनी विदेश मंत्रालय का दावा - चीन ने कभी भी LAC को नहीं किया क्रॉस | IndiaChinaFaceOff,0
"ये जो लोग है ना वह तुमलोग पैसे दे देकर उससे बोलबाते हो, मोटी रकम मुल्ले को देकर तो भोगो पाकिस्तान से पीछे क्यों रहना, पाक की तरह 30 साल पीछे नहीं गया भारत तो मेरे नाम का कुत्ता पाल लेना। आने बाली पीढ़ी भुगतेगी तब तेरा आंख का आंसू गांड से गिरेगा, अभी पेड़ लगाओ फल खाना.",1
रेलवे ने ग्रुप सी पदों पर वैकेंसी जारी की है. इन पदों पर आवेदन की आखिरी तारीख 2 सितंबर है HindiNews,0
"पान्डे जी, कमीना जात पात खेलने आया था",1
God is awesome! The Holy spirit will tell you to move and you must move!!!,0
"Sushma Swaraj Among BJP's Most Beloved, Admired Across Political Lines URL",0
जब 8% GDP थी तो नौकरी मिली ही नहीं तो आज क्या घंटा मिलेगी.. 😏,1
एक मुसलमान अपनी पत्नी तलाक़ देकर भी छोड़ दें तो तीन साल की सज़ा एक हिन्दू अपनी पत्नी को बिन तलाक़ दिए ही छोड़ दें तो प्रधानमंत्री भी बन सकता है.. ये कैसा इंसाफ है..।। इंसाफ़ के लिए RT करे..,1
ऑक्सीजन जांच अभियान चलाने के लिए भोपाल जोन के प्रमुख पदाधिकारियों के साथ ट्रेनिंग कार्यक्रम का आयोजन किया गया। . . .,0
When my poem about family brought a grown man to tears... URL,0
"फलस्तिनियो पर लगातार बढ़ते ज़ुल्म की एक वज़ह अकवाम ए मुत्तहेदा कि खामोशी भी है, यही हाल कश्मीर का भी है,सब अपने अपने मशगले मे मस्त है,अगर आप पावर में हैं तब भी इन मजलूमीन के साथ खड़े होकर इनके लिए आवाज़ नही उठा रहे तो यकीनन इसका शोला आप तक भी जा सकता है।",1
बहुजन समाज के महापुरूषो के विचारधारा में इतनी ताकत है की हमे किसी राजनितीक पार्टी की चमचेगीरी करने की जरुरत ही नही है ! 17सितम्बर पेरियार जयंती मनायेंगे,1
भारत में हर कोई बिकाऊ है खरीददार पैसा वाला होनी चाहिए चीफ जस्टिस खरीद लीजिए नेता मंत्री प्रधानमंत्री अधिकारी खरीद लीजिए आपके पास कीमत देने के लिए उचित रकम होनी चाहिए इन गद्दारों को सिर्फ पैसे से इंद्र की तरह जिंदगी जीना जानते हैं परियों के साथ ना तो देश से मतलब ना नागरिक से,1
IndiaChinaBorderNews: युद्ध हुआ तो चीन चुकाएगा बड़ी कीमत भारत के साथ होंगे बड़े देश IndiaChinaBorderTension,0
डॉक्टरों ने महिला के मुंह से निकाला 4 फीट लंबा सांप Snake Russia,0
ये दोनों मूवी हिंदुस्तान में नही रिलीज होनी चाहिए अगर आप सहमत हैं तो Rt boycottbollywood,0
*kind of the interesting part of windsor,0
अगर 17 जातियों को sc में शामिल किया गया है तो उसके हिसाब से आरक्षण का अनुपात भी बढ़ना चाहिए ! सहमत हो तो retweet करो,1
I just came out to my irl friends and I'm so happy  URL,0
"पिछले 24 घंटे में 3256 नए मामले आए हैं, तो इस दौरान 29 और मरीजों की मौत हुई है.",0
हमने एक कट्टर हिन्दू शेर के घर मे कुत्तो को जन्म लेते देखा है और इन्ही कुत्तो को Congress के तल्वे भी चाटते देखा है। Nation will not forgive them ..,1
"a lot of the teens say,"" sksksksksksksksksksk"" when something is ""funny""",0
